"team_name","season","buildupplayspeed","buildupplaydribbling","buildupplaydribblingclass","buildupplaypassing","buildupplaypassingclass","buildupplaypositioningclass","chancecreationpassing","chancecreationpassingclass","chancecreationcrossing","chancecreationcrossingclass","chancecreationshooting","chancecreationshootingclass","chancecreationpositioningclass","defencepressure","defencepressureclass","defenceaggression","defenceaggressionclass","defenceteamwidth","defenceteamwidthclass","defencedefenderlineclass","draws","wins","losses"
"FC Aarau                                                                                            ","2010",60,NULL,"Little                                            ",50,"Mixed                                             ","Organised                                         ",60,"Normal                                            ",65,"Normal                                            ",55,"Normal                                            ","Organised                                         ",50,"Medium                                            ",55,"Press                                             ",45,"Normal                                            ","Cover                                             ","1","5","12"
"FC Aarau                                                                                            ","2014",52,48,"Normal                                            ",56,"Mixed                                             ","Organised                                         ",54,"Normal                                            ",63,"Normal                                            ",64,"Normal                                            ","Organised                                         ",47,"Medium                                            ",44,"Press                                             ",54,"Normal                                            ","Cover                                             ","10","10","17"
"FC Aarau                                                                                            ","2015",47,41,"Normal                                            ",54,"Mixed                                             ","Organised                                         ",54,"Normal                                            ",63,"Normal                                            ",64,"Normal                                            ","Organised                                         ",47,"Medium                                            ",44,"Press                                             ",54,"Normal                                            ","Cover                                             ","5","3","10"
"Aberdeen                                                                                            ","2010",70,NULL,"Little                                            ",70,"Long                                              ","Organised                                         ",70,"Risky                                             ",70,"Lots                                              ",70,"Lots                                              ","Organised                                         ",60,"Medium                                            ",70,"Double                                            ",70,"Wide                                              ","Cover                                             ","6","11","23"
"Aberdeen                                                                                            ","2011",47,NULL,"Little                                            ",52,"Mixed                                             ","Organised                                         ",53,"Normal                                            ",48,"Normal                                            ",52,"Normal                                            ","Organised                                         ",47,"Medium                                            ",47,"Press                                             ",52,"Normal                                            ","Cover                                             ","10","11","20"
"Aberdeen                                                                                            ","2012",58,NULL,"Little                                            ",62,"Mixed                                             ","Organised                                         ",45,"Normal                                            ",70,"Lots                                              ",55,"Normal                                            ","Organised                                         ",40,"Medium                                            ",40,"Press                                             ",60,"Normal                                            ","Cover                                             ","14","12","12"
"Aberdeen                                                                                            ","2013",62,NULL,"Little                                            ",45,"Mixed                                             ","Organised                                         ",40,"Normal                                            ",50,"Normal                                            ",55,"Normal                                            ","Organised                                         ",42,"Medium                                            ",42,"Press                                             ",60,"Normal                                            ","Cover                                             ","11","14","11"
"Aberdeen                                                                                            ","2014",58,64,"Normal                                            ",62,"Mixed                                             ","Organised                                         ",56,"Normal                                            ",68,"Lots                                              ",57,"Normal                                            ","Organised                                         ",41,"Medium                                            ",42,"Press                                             ",60,"Normal                                            ","Cover                                             ","7","21","9"
"Aberdeen                                                                                            ","2015",59,64,"Normal                                            ",53,"Mixed                                             ","Organised                                         ",51,"Normal                                            ",72,"Lots                                              ",63,"Normal                                            ","Free Form                                         ",49,"Medium                                            ",45,"Press                                             ",63,"Normal                                            ","Cover                                             ","9","24","8"
"AC Ajaccio                                                                                          ","2010",60,NULL,"Little                                            ",40,"Mixed                                             ","Organised                                         ",45,"Normal                                            ",35,"Normal                                            ",55,"Normal                                            ","Organised                                         ",30,"Deep                                              ",70,"Double                                            ",30,"Narrow                                            ","Offside Trap                                      ","0","0","0"
"AC Ajaccio                                                                                          ","2011",65,NULL,"Little                                            ",45,"Mixed                                             ","Organised                                         ",65,"Normal                                            ",65,"Normal                                            ",50,"Normal                                            ","Organised                                         ",45,"Medium                                            ",45,"Press                                             ",50,"Normal                                            ","Cover                                             ","6","3","10"
"AC Ajaccio                                                                                          ","2012",59,NULL,"Little                                            ",52,"Mixed                                             ","Organised                                         ",48,"Normal                                            ",34,"Normal                                            ",52,"Normal                                            ","Organised                                         ",38,"Medium                                            ",47,"Press                                             ",53,"Normal                                            ","Cover                                             ","14","11","13"
"AC Ajaccio                                                                                          ","2013",59,NULL,"Little                                            ",52,"Mixed                                             ","Organised                                         ",48,"Normal                                            ",34,"Normal                                            ",52,"Normal                                            ","Organised                                         ",38,"Medium                                            ",47,"Press                                             ",53,"Normal                                            ","Cover                                             ","15","5","18"
"AC Ajaccio                                                                                          ","2014",59,57,"Normal                                            ",52,"Mixed                                             ","Organised                                         ",48,"Normal                                            ",38,"Normal                                            ",52,"Normal                                            ","Organised                                         ",38,"Medium                                            ",47,"Press                                             ",53,"Normal                                            ","Cover                                             ","5","3","11"
"AC Ajaccio                                                                                          ","2015",59,57,"Normal                                            ",52,"Mixed                                             ","Organised                                         ",48,"Normal                                            ",38,"Normal                                            ",52,"Normal                                            ","Organised                                         ",38,"Medium                                            ",47,"Press                                             ",53,"Normal                                            ","Cover                                             ","0","0","0"
"Milan                                                                                               ","2010",45,NULL,"Little                                            ",30,"Short                                             ","Free Form                                         ",55,"Normal                                            ",45,"Normal                                            ",70,"Lots                                              ","Free Form                                         ",30,"Deep                                              ",35,"Press                                             ",60,"Normal                                            ","Offside Trap                                      ","9","22","8"
"Milan                                                                                               ","2011",65,NULL,"Little                                            ",50,"Mixed                                             ","Organised                                         ",50,"Normal                                            ",60,"Normal                                            ",50,"Normal                                            ","Free Form                                         ",50,"Medium                                            ",50,"Press                                             ",50,"Normal                                            ","Offside Trap                                      ","11","23","3"
"Milan                                                                                               ","2012",45,NULL,"Little                                            ",50,"Mixed                                             ","Organised                                         ",65,"Normal                                            ",20,"Little                                            ",50,"Normal                                            ","Free Form                                         ",45,"Medium                                            ",45,"Press                                             ",50,"Normal                                            ","Cover                                             ","7","21","11"
"Milan                                                                                               ","2013",48,NULL,"Little                                            ",54,"Mixed                                             ","Organised                                         ",51,"Normal                                            ",53,"Normal                                            ",64,"Normal                                            ","Free Form                                         ",48,"Medium                                            ",49,"Press                                             ",53,"Normal                                            ","Cover                                             ","13","17","7"
"Milan                                                                                               ","2014",48,70,"Lots                                              ",52,"Mixed                                             ","Organised                                         ",66,"Normal                                            ",36,"Normal                                            ",75,"Lots                                              ","Organised                                         ",58,"Medium                                            ",57,"Press                                             ",49,"Normal                                            ","Cover                                             ","9","18","10"
"Milan                                                                                               ","2015",48,70,"Lots                                              ",52,"Mixed                                             ","Organised                                         ",66,"Normal                                            ",36,"Normal                                            ",69,"Lots                                              ","Organised                                         ",58,"Medium                                            ",57,"Press                                             ",49,"Normal                                            ","Cover                                             ","10","15","14"
